96.08.713.451 I slot print_timing: id  0 | task 832 | prompt processing, n_tokens =  17589, progress = 1.00, t = 416.95 s / 42.19 tokens per second
96.21.002.678 I slot print_timing: id  0 | task 832 | prompt processing, n_tokens =  18101, progress = 1.00, t = 423.04 s / 42.79 tokens per second
96.25.719.955 I slot print_timing: id  0 | task 832 | prompt eval time =  436235.64 ms / 18105 tokens (   24.09 ms per token,    41.50 tokens per second)
96.25.719.957 I slot print_timing: id  0 | task 832 |        eval time =    3500.59 ms /    25 tokens (  145.86 ms per token,     6.86 tokens per second)
96.25.719.958 I slot print_timing: id  0 | task 832 |       total time =  439736.23 ms / 18130 tokens
96.25.719.958 I slot print_timing: id  0 | task 832 |    graphs reused =        557
96.25.719.960 I slot print_timing: id  0 | task 832 | draft acceptance = 0.83333 (   15 accepted /    18 generated), mean len =  2.67
96.25.722.089 I slot      release: id  0 | task 832 | stop processing: n_tokens = 201116, truncated = 0
96.25.722.242 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
96.25.723.163 I slot launch_slot_: id  0 | task 842 | processing task, is_child = 0
96.37.658.279 I slot print_timing: id  0 | task 842 | prompt eval time =    3061.72 ms /    73 tokens (   41.94 ms per token,    23.84 tokens per second)
96.37.658.281 I slot print_timing: id  0 | task 842 |        eval time =    8873.13 ms /    67 tokens (  134.44 ms per token,     7.44 tokens per second)
96.37.658.282 I slot print_timing: id  0 | task 842 |       total time =   11934.85 ms /   140 tokens
96.37.658.282 I slot print_timing: id  0 | task 842 |    graphs reused =        578
96.37.658.284 I slot print_timing: id  0 | task 842 | draft acceptance = 0.93478 (   43 accepted /    46 generated), mean len =  2.87
96.37.662.816 I slot      release: id  0 | task 842 | stop processing: n_tokens = 201227, truncated = 0
96.37.813.306 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 108385899614
96.37.822.777 W srv         alloc:  - making room for prompt cache entry, removing oldest entry (size = 15519.825 MiB)
96.45.485.812 I slot launch_slot_: id  0 | task 880 | processing task, is_child = 0
96.54.209.049 I slot print_timing: id  0 | task 880 | prompt processing, n_tokens =   2048, progress = 0.09, t =   6.27 s / 326.45 tokens per second
97.03.144.402 I slot print_timing: id  0 | task 880 | prompt processing, n_tokens =   4096, progress = 0.10, t =  15.14 s / 270.54 tokens per second
97.14.088.170 I slot print_timing: id  0 | task 880 | prompt processing, n_tokens =   6144, progress = 0.11, t =  25.70 s / 239.06 tokens per second
97.25.083.026 I slot print_timing: id  0 | task 880 | prompt processing, n_tokens =   8192, progress = 0.12, t =  36.63 s / 223.66 tokens per second
97.36.422.201 I slot print_timing: id  0 | task 880 | prompt processing, n_tokens =  10240, progress = 0.13, t =  47.86 s / 213.94 tokens per second
97.48.151.470 I slot print_timing: id  0 | task 880 | prompt processing, n_tokens =  12288, progress = 0.13, t =  59.48 s / 206.59 tokens per second
98.00.273.134 I slot print_timing: id  0 | task 880 | prompt processing, n_tokens =  14336, progress = 0.14, t =  71.49 s / 200.52 tokens per second
98.12.803.028 I slot print_timing: id  0 | task 880 | prompt processing, n_tokens =  16384, progress = 0.15, t =  83.91 s / 195.25 tokens per second
98.25.746.785 I slot print_timing: id  0 | task 880 | prompt processing, n_tokens =  18432, progress = 0.16, t =  96.73 s / 190.54 tokens per second
98.39.127.825 I slot print_timing: id  0 | task 880 | prompt processing, n_tokens =  20480, progress = 0.17, t = 109.99 s / 186.19 tokens per second
98.52.932.249 I slot print_timing: id  0 | task 880 | prompt processing, n_tokens =  22528, progress = 0.18, t = 123.68 s / 182.14 tokens per second
99.07.157.157 I slot print_timing: id  0 | task 880 | prompt processing, n_tokens =  24576, progress = 0.19, t = 137.79 s / 178.36 tokens per second
