6.10.798.755 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.999 (> 0.100 thold), f_keep = 0.999
6.10.799.597 I slot launch_slot_: id  0 | task 113 | processing task, is_child = 0
6.17.306.194 I slot print_timing: id  0 | task 113 | prompt eval time =    1392.93 ms /    61 tokens (   22.83 ms per token,    43.79 tokens per second)
6.17.306.196 I slot print_timing: id  0 | task 113 |        eval time =    5113.41 ms /    59 tokens (   88.16 ms per token,    11.34 tokens per second)
6.17.306.196 I slot print_timing: id  0 | task 113 |       total time =    6506.34 ms /   120 tokens
6.17.306.197 I slot print_timing: id  0 | task 113 |    graphs reused =         90
6.17.306.199 I slot print_timing: id  0 | task 113 | draft acceptance = 0.76087 (   35 accepted /    46 generated), mean len =  2.52
6.17.307.065 I slot      release: id  0 | task 113 | stop processing: n_tokens = 65193, truncated = 0
6.17.379.310 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.205 (> 0.100 thold), f_keep = 0.288
6.17.890.098 I slot launch_slot_: id  0 | task 140 | processing task, is_child = 0
6.26.326.155 I slot print_timing: id  0 | task 140 | prompt processing, n_tokens =   2048, progress = 0.22, t =   6.15 s / 333.00 tokens per second
6.35.177.087 I slot print_timing: id  0 | task 140 | prompt processing, n_tokens =   4096, progress = 0.24, t =  14.89 s / 275.06 tokens per second
6.44.406.715 I slot print_timing: id  0 | task 140 | prompt processing, n_tokens =   6144, progress = 0.27, t =  24.02 s / 255.81 tokens per second
6.54.011.198 I slot print_timing: id  0 | task 140 | prompt processing, n_tokens =   8192, progress = 0.29, t =  33.52 s / 244.43 tokens per second
7.03.983.077 I slot print_timing: id  0 | task 140 | prompt processing, n_tokens =  10240, progress = 0.31, t =  43.39 s / 236.01 tokens per second
7.14.328.971 I slot print_timing: id  0 | task 140 | prompt processing, n_tokens =  12288, progress = 0.33, t =  53.62 s / 229.16 tokens per second
7.25.056.040 I slot print_timing: id  0 | task 140 | prompt processing, n_tokens =  14336, progress = 0.36, t =  64.25 s / 223.14 tokens per second
7.36.184.414 I slot print_timing: id  0 | task 140 | prompt processing, n_tokens =  16384, progress = 0.38, t =  75.26 s / 217.69 tokens per second
7.47.686.374 I slot print_timing: id  0 | task 140 | prompt processing, n_tokens =  18432, progress = 0.40, t =  86.66 s / 212.69 tokens per second
7.59.586.696 I slot print_timing: id  0 | task 140 | prompt processing, n_tokens =  20480, progress = 0.42, t =  98.44 s / 208.04 tokens per second
8.11.905.177 I slot print_timing: id  0 | task 140 | prompt processing, n_tokens =  22528, progress = 0.45, t = 110.65 s / 203.59 tokens per second
8.24.576.010 I slot print_timing: id  0 | task 140 | prompt processing, n_tokens =  24576, progress = 0.47, t = 123.22 s / 199.44 tokens per second
8.37.678.424 I slot print_timing: id  0 | task 140 | prompt processing, n_tokens =  26624, progress = 0.49, t = 136.21 s / 195.46 tokens per second
8.51.168.372 I slot print_timing: id  0 | task 140 | prompt processing, n_tokens =  28672, progress = 0.51, t = 149.59 s / 191.68 tokens per second
9.05.076.005 I slot print_timing: id  0 | task 140 | prompt processing, n_tokens =  30720, progress = 0.53, t = 163.38 s / 188.03 tokens per second
9.19.377.841 I slot print_timing: id  0 | task 140 | prompt processing, n_tokens =  32768, progress = 0.56, t = 177.58 s / 184.53 tokens per second
9.34.106.396 I slot print_timing: id  0 | task 140 | prompt processing, n_tokens =  34816, progress = 0.58, t = 192.17 s / 181.17 tokens per second
9.49.288.946 I slot print_timing: id  0 | task 140 | prompt processing, n_tokens =  36864, progress = 0.60, t = 207.25 s / 177.87 tokens per second
10.04.869.316 I slot print_timing: id  0 | task 140 | prompt processing, n_tokens =  38912, progress = 0.62, t = 222.70 s / 174.72 tokens per second
10.20.871.142 I slot print_timing: id  0 | task 140 | prompt processing, n_tokens =  40960, progress = 0.65, t = 238.59 s / 171.67 tokens per second
10.37.317.214 I slot print_timing: id  0 | task 140 | prompt processing, n_tokens =  43008, progress = 0.67, t = 254.91 s / 168.72 tokens per second
