0.31.670.874 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.31.671.835 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.36.954.272 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   2048, progress = 0.11, t =   3.88 s / 528.07 tokens per second
0.42.552.082 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   4096, progress = 0.22, t =   9.39 s / 436.06 tokens per second
0.48.477.434 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   6144, progress = 0.33, t =  15.23 s / 403.55 tokens per second
0.54.733.567 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   8192, progress = 0.44, t =  21.39 s / 383.02 tokens per second
1.01.318.221 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  10240, progress = 0.55, t =  27.88 s / 367.25 tokens per second
1.08.245.940 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  12288, progress = 0.66, t =  34.71 s / 354.03 tokens per second
1.15.583.844 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  14336, progress = 0.77, t =  41.93 s / 341.88 tokens per second
1.23.313.952 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  16384, progress = 0.88, t =  49.56 s / 330.60 tokens per second
1.30.318.140 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  18125, progress = 0.97, t =  57.53 s / 315.06 tokens per second
1.32.172.712 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  18537, progress = 0.99, t =  58.68 s / 315.89 tokens per second
1.32.714.888 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  18637, progress = 1.00, t =  60.56 s / 307.72 tokens per second
1.38.587.672 I slot print_timing: id  0 | task 0 | n_gen =    102, tg =  17.69 t/s, tg_3s =  17.87 t/s
1.41.684.507 I slot print_timing: id  0 | task 0 | n_gen =    157, tg =  17.72 t/s, tg_3s =  17.76 t/s
1.43.966.627 I slot print_timing: id  0 | task 0 | prompt eval time =   61207.19 ms / 18641 tokens (    3.28 ms per token,   304.56 tokens per second)
1.43.966.629 I slot print_timing: id  0 | task 0 |        eval time =   11087.34 ms /   194 tokens (   57.45 ms per token,    17.41 tokens per second)
1.43.966.630 I slot print_timing: id  0 | task 0 |       total time =   72294.52 ms / 18835 tokens
1.43.966.630 I slot print_timing: id  0 | task 0 |    graphs reused =         67
1.43.966.632 I slot print_timing: id  0 | task 0 | draft acceptance = 0.92647 (  126 accepted /   136 generated), mean len =  2.85
1.43.967.050 I slot      release: id  0 | task 0 | stop processing: n_tokens = 18835, truncated = 0
1.44.263.752 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.990 (> 0.100 thold), f_keep = 0.990
1.44.264.627 I slot launch_slot_: id  0 | task 81 | processing task, is_child = 0
1.51.762.427 I slot print_timing: id  0 | task 81 | prompt eval time =    1125.65 ms /   200 tokens (    5.63 ms per token,   177.68 tokens per second)
1.51.762.429 I slot print_timing: id  0 | task 81 |        eval time =    6371.89 ms /    96 tokens (   67.07 ms per token,    14.91 tokens per second)
1.51.762.429 I slot print_timing: id  0 | task 81 |       total time =    7497.54 ms /   296 tokens
1.51.762.430 I slot print_timing: id  0 | task 81 |    graphs reused =        105
1.51.762.431 I slot print_timing: id  0 | task 81 | draft acceptance = 0.74359 (   58 accepted /    78 generated), mean len =  2.49
1.51.762.848 I slot      release: id  0 | task 81 | stop processing: n_tokens = 18934, truncated = 0
1.51.819.859 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.983 (> 0.100 thold), f_keep = 0.995
1.51.820.683 I slot launch_slot_: id  0 | task 123 | processing task, is_child = 0
1.59.796.835 I slot print_timing: id  0 | task 123 | n_gen =    102, tg =  15.84 t/s, tg_3s =  16.00 t/s
2.02.899.607 I slot print_timing: id  0 | task 123 | prompt eval time =    1601.32 ms /   324 tokens (    4.94 ms per token,   202.33 tokens per second)
2.02.899.609 I slot print_timing: id  0 | task 123 |        eval time =    9477.34 ms /   155 tokens (   61.54 ms per token,    16.25 tokens per second)
2.02.899.610 I slot print_timing: id  0 | task 123 |       total time =   11078.66 ms /   479 tokens
2.02.899.610 I slot print_timing: id  0 | task 123 |    graphs reused =        161
2.02.899.612 I slot print_timing: id  0 | task 123 | draft acceptance = 0.82759 (   96 accepted /   116 generated), mean len =  2.66
2.02.900.047 I slot      release: id  0 | task 123 | stop processing: n_tokens = 19311, truncated = 0
2.03.092.009 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.993 (> 0.100 thold), f_keep = 0.992
2.03.092.838 I slot launch_slot_: id  0 | task 184 | processing task, is_child = 0
2.07.047.582 I slot print_timing: id  0 | task 184 | prompt eval time =    1011.38 ms /   145 tokens (    6.98 ms per token,   143.37 tokens per second)
2.07.047.584 I slot print_timing: id  0 | task 184 |        eval time =    2943.11 ms /    52 tokens (   57.71 ms per token,    17.33 tokens per second)
2.07.047.585 I slot print_timing: id  0 | task 184 |       total time =    3954.49 ms /   197 tokens
2.07.047.585 I slot print_timing: id  0 | task 184 |    graphs reused =        178
2.07.047.587 I slot print_timing: id  0 | task 184 | draft acceptance = 0.91667 (   33 accepted /    36 generated), mean len =  2.83
2.07.048.029 I slot      release: id  0 | task 184 | stop processing: n_tokens = 19349, truncated = 0
2.07.097.031 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.604 (> 0.100 thold), f_keep = 0.997
2.07.097.860 I slot launch_slot_: id  0 | task 205 | processing task, is_child = 0
2.15.492.011 I slot print_timing: id  0 | task 205 | prompt processing, n_tokens =   2048, progress = 0.67, t =   6.10 s / 335.63 tokens per second
2.24.302.475 I slot print_timing: id  0 | task 205 | prompt processing, n_tokens =   4096, progress = 0.73, t =  14.82 s / 276.43 tokens per second
2.33.450.678 I slot print_timing: id  0 | task 205 | prompt processing, n_tokens =   6144, progress = 0.80, t =  23.87 s / 257.42 tokens per second
2.42.946.621 I slot print_timing: id  0 | task 205 | prompt processing, n_tokens =   8192, progress = 0.86, t =  33.27 s / 246.21 tokens per second
2.52.808.189 I slot print_timing: id  0 | task 205 | prompt processing, n_tokens =  10240, progress = 0.92, t =  43.01 s / 238.08 tokens per second
3.02.419.179 I slot print_timing: id  0 | task 205 | prompt processing, n_tokens =  12139, progress = 0.98, t =  53.19 s / 228.24 tokens per second
3.05.034.235 I slot print_timing: id  0 | task 205 | prompt processing, n_tokens =  12651, progress = 1.00, t =  55.40 s / 228.35 tokens per second
3.12.150.030 I slot print_timing: id  0 | task 205 | n_gen =    100, tg =  14.44 t/s, tg_3s =  14.59 t/s
3.15.312.830 I slot print_timing: id  0 | task 205 | n_gen =    142, tg =  14.07 t/s, tg_3s =  13.28 t/s
3.17.773.050 I slot print_timing: id  0 | task 205 | prompt eval time =   58196.13 ms / 12655 tokens (    4.60 ms per token,   217.45 tokens per second)
3.17.773.053 I slot print_timing: id  0 | task 205 |        eval time =   12478.78 ms /   177 tokens (   70.90 ms per token,    14.10 tokens per second)
3.17.773.053 I slot print_timing: id  0 | task 205 |       total time =   70674.91 ms / 12832 tokens
3.17.773.053 I slot print_timing: id  0 | task 205 |    graphs reused =        247
3.17.773.055 I slot print_timing: id  0 | task 205 | draft acceptance = 0.74648 (  106 accepted /   142 generated), mean len =  2.49
3.17.773.735 I slot      release: id  0 | task 205 | stop processing: n_tokens = 32126, truncated = 0
