0.07.448.262 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.07.449.077 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.12.739.673 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   2048, progress = 0.11, t =   3.88 s / 527.19 tokens per second
0.20.618.267 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   4096, progress = 0.22, t =  11.07 s / 370.08 tokens per second
0.28.430.638 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   6144, progress = 0.33, t =  18.94 s / 324.38 tokens per second
0.36.151.903 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   8192, progress = 0.44, t =  26.67 s / 307.21 tokens per second
0.44.033.970 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  10240, progress = 0.54, t =  34.50 s / 296.79 tokens per second
0.52.149.312 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  12288, progress = 0.65, t =  42.54 s / 288.87 tokens per second
1.00.574.623 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  14336, progress = 0.76, t =  50.86 s / 281.86 tokens per second
1.09.352.339 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  16384, progress = 0.87, t =  59.55 s / 275.13 tokens per second
1.17.937.755 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  18304, progress = 0.97, t =  68.58 s / 266.89 tokens per second
1.20.028.566 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  18691, progress = 0.99, t =  70.55 s / 264.92 tokens per second
1.20.710.070 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  18816, progress = 1.00, t =  72.65 s / 259.00 tokens per second
1.23.779.203 I slot print_timing: id  0 | task 0 | prompt eval time =   73437.14 ms / 18820 tokens (    3.90 ms per token,   256.27 tokens per second)
1.23.779.206 I slot print_timing: id  0 | task 0 |        eval time =    2892.72 ms /    47 tokens (   62.89 ms per token,    15.90 tokens per second)
1.23.779.206 I slot print_timing: id  0 | task 0 |       total time =   76329.87 ms / 18867 tokens
1.23.779.207 I slot print_timing: id  0 | task 0 |    graphs reused =         16
1.23.779.210 I slot print_timing: id  0 | task 0 | draft acceptance = 1.00000 (   32 accepted /    32 generated), mean len =  3.00
1.23.779.636 I slot      release: id  0 | task 0 | stop processing: n_tokens = 18868, truncated = 0
1.23.848.649 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.404 (> 0.100 thold), f_keep = 0.991
1.23.849.517 I slot launch_slot_: id  0 | task 29 | processing task, is_child = 0
1.35.800.930 I slot print_timing: id  0 | task 29 | prompt processing, n_tokens =   2535, progress = 0.45, t =   9.34 s / 271.34 tokens per second
1.45.818.871 I slot print_timing: id  0 | task 29 | prompt processing, n_tokens =   4583, progress = 0.50, t =  19.26 s / 237.92 tokens per second
1.56.283.600 I slot print_timing: id  0 | task 29 | prompt processing, n_tokens =   6631, progress = 0.54, t =  29.60 s / 224.00 tokens per second
2.07.171.331 I slot print_timing: id  0 | task 29 | prompt processing, n_tokens =   8679, progress = 0.58, t =  40.36 s / 215.02 tokens per second
2.18.489.560 I slot print_timing: id  0 | task 29 | prompt processing, n_tokens =  10727, progress = 0.63, t =  51.56 s / 208.06 tokens per second
2.30.250.217 I slot print_timing: id  0 | task 29 | prompt processing, n_tokens =  12775, progress = 0.67, t =  63.19 s / 202.16 tokens per second
2.42.445.401 I slot print_timing: id  0 | task 29 | prompt processing, n_tokens =  14823, progress = 0.72, t =  75.27 s / 196.92 tokens per second
2.55.077.796 I slot print_timing: id  0 | task 29 | prompt processing, n_tokens =  16871, progress = 0.76, t =  87.79 s / 192.17 tokens per second
3.08.124.532 I slot print_timing: id  0 | task 29 | prompt processing, n_tokens =  18919, progress = 0.81, t = 100.72 s / 187.85 tokens per second
3.21.601.806 I slot print_timing: id  0 | task 29 | prompt processing, n_tokens =  20967, progress = 0.85, t = 114.07 s / 183.81 tokens per second
3.35.513.320 I slot print_timing: id  0 | task 29 | prompt processing, n_tokens =  23015, progress = 0.89, t = 127.87 s / 179.99 tokens per second
3.49.842.854 I slot print_timing: id  0 | task 29 | prompt processing, n_tokens =  25063, progress = 0.94, t = 142.08 s / 176.40 tokens per second
4.04.575.008 I slot print_timing: id  0 | task 29 | prompt processing, n_tokens =  27111, progress = 0.98, t = 156.70 s / 173.01 tokens per second
4.06.999.586 I slot print_timing: id  0 | task 29 | prompt processing, n_tokens =  27398, progress = 0.99, t = 160.73 s / 170.46 tokens per second
4.10.700.511 I slot print_timing: id  0 | task 29 | prompt processing, n_tokens =  27910, progress = 1.00, t = 163.25 s / 170.96 tokens per second
4.20.054.921 I slot print_timing: id  0 | task 29 | n_gen =    102, tg =  11.22 t/s, tg_3s =  11.33 t/s
4.23.210.451 I slot print_timing: id  0 | task 29 | n_gen =    141, tg =  11.51 t/s, tg_3s =  12.36 t/s
4.26.365.022 I slot print_timing: id  0 | task 29 | n_gen =    184, tg =  11.95 t/s, tg_3s =  13.63 t/s
4.29.110.982 I slot print_timing: id  0 | task 29 | prompt eval time =  167202.23 ms / 27914 tokens (    5.99 ms per token,   166.95 tokens per second)
4.29.110.985 I slot print_timing: id  0 | task 29 |        eval time =   18058.98 ms /   221 tokens (   82.09 ms per token,    12.18 tokens per second)
4.29.110.985 I slot print_timing: id  0 | task 29 |       total time =  185261.21 ms / 28135 tokens
4.29.110.985 I slot print_timing: id  0 | task 29 |    graphs reused =        100
4.29.110.988 I slot print_timing: id  0 | task 29 | draft acceptance = 0.79070 (  136 accepted /   172 generated), mean len =  2.58
4.29.111.670 I slot      release: id  0 | task 29 | stop processing: n_tokens = 46440, truncated = 0
4.29.190.913 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.710 (> 0.100 thold), f_keep = 0.995
4.29.191.781 I slot launch_slot_: id  0 | task 133 | processing task, is_child = 0
4.44.431.618 I slot print_timing: id  0 | task 133 | prompt processing, n_tokens =   2048, progress = 0.74, t =  11.04 s / 185.43 tokens per second
5.00.202.208 I slot print_timing: id  0 | task 133 | prompt processing, n_tokens =   4096, progress = 0.77, t =  26.69 s / 153.47 tokens per second
5.16.460.731 I slot print_timing: id  0 | task 133 | prompt processing, n_tokens =   6144, progress = 0.80, t =  42.78 s / 143.60 tokens per second
5.33.082.650 I slot print_timing: id  0 | task 133 | prompt processing, n_tokens =   8192, progress = 0.84, t =  59.32 s / 138.10 tokens per second
5.50.177.870 I slot print_timing: id  0 | task 133 | prompt processing, n_tokens =  10240, progress = 0.87, t =  76.28 s / 134.24 tokens per second
6.07.711.153 I slot print_timing: id  0 | task 133 | prompt processing, n_tokens =  12288, progress = 0.90, t =  93.75 s / 131.07 tokens per second
6.25.672.305 I slot print_timing: id  0 | task 133 | prompt processing, n_tokens =  14336, progress = 0.93, t = 111.56 s / 128.51 tokens per second
6.44.051.879 I slot print_timing: id  0 | task 133 | prompt processing, n_tokens =  16384, progress = 0.96, t = 129.83 s / 126.20 tokens per second
7.02.555.468 I slot print_timing: id  0 | task 133 | prompt processing, n_tokens =  18381, progress = 0.99, t = 148.50 s / 123.78 tokens per second
7.07.325.189 I slot print_timing: id  0 | task 133 | prompt processing, n_tokens =  18893, progress = 1.00, t = 153.57 s / 123.02 tokens per second
7.17.743.316 I slot print_timing: id  0 | task 133 | n_gen =    101, tg =  10.02 t/s, tg_3s =  10.12 t/s
7.18.652.243 I slot print_timing: id  0 | task 133 | prompt eval time =  158570.48 ms / 18897 tokens (    8.39 ms per token,   119.17 tokens per second)
7.18.652.246 I slot print_timing: id  0 | task 133 |        eval time =   10889.74 ms /   111 tokens (   99.00 ms per token,    10.10 tokens per second)
7.18.652.246 I slot print_timing: id  0 | task 133 |       total time =  169460.22 ms / 19008 tokens
7.18.652.247 I slot print_timing: id  0 | task 133 |    graphs reused =        147
7.18.652.248 I slot print_timing: id  0 | task 133 | draft acceptance = 0.66667 (   64 accepted /    96 generated), mean len =  2.33
7.18.653.073 I slot      release: id  0 | task 133 | stop processing: n_tokens = 65223, truncated = 0
