93.57.264.697 I slot print_timing: id  0 | task 587 | n_gen =    102, tg =   6.73 t/s, tg_3s =   6.80 t/s
94.00.486.026 I slot print_timing: id  0 | task 587 | n_gen =    129, tg =   7.02 t/s, tg_3s =   8.38 t/s
94.03.716.178 I slot print_timing: id  0 | task 587 | n_gen =    156, tg =   7.22 t/s, tg_3s =   8.36 t/s
94.06.948.581 I slot print_timing: id  0 | task 587 | n_gen =    182, tg =   7.33 t/s, tg_3s =   8.04 t/s
94.07.665.519 I slot print_timing: id  0 | task 587 | prompt eval time =  424587.76 ms / 18091 tokens (   23.47 ms per token,    42.61 tokens per second)
94.07.665.522 I slot print_timing: id  0 | task 587 |        eval time =   25406.21 ms /   188 tokens (  135.86 ms per token,     7.36 tokens per second)
94.07.665.523 I slot print_timing: id  0 | task 587 |       total time =  449993.96 ms / 18279 tokens
94.07.665.523 I slot print_timing: id  0 | task 587 |    graphs reused =        378
94.07.665.525 I slot print_timing: id  0 | task 587 | draft acceptance = 0.81690 (  116 accepted /   142 generated), mean len =  2.63
94.07.668.160 I slot      release: id  0 | task 587 | stop processing: n_tokens = 201195, truncated = 0
94.07.668.312 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.999
94.07.669.291 I slot launch_slot_: id  0 | task 609 | processing task, is_child = 0
94.18.284.808 I slot print_timing: id  0 | task 609 | prompt eval time =    3077.36 ms /    73 tokens (   42.16 ms per token,    23.72 tokens per second)
94.18.284.811 I slot print_timing: id  0 | task 609 |        eval time =    7537.90 ms /    57 tokens (  134.61 ms per token,     7.43 tokens per second)
94.18.284.812 I slot print_timing: id  0 | task 609 |       total time =   10615.25 ms /   130 tokens
94.18.284.812 I slot print_timing: id  0 | task 609 |    graphs reused =        398
94.18.284.814 I slot print_timing: id  0 | task 609 | draft acceptance = 0.88095 (   37 accepted /    42 generated), mean len =  2.76
94.18.288.136 I slot      release: id  0 | task 609 | stop processing: n_tokens = 201135, truncated = 0
94.18.443.516 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 99303644915
94.18.453.788 W srv         alloc:  - making room for prompt cache entry, removing oldest entry (size = 15513.470 MiB)
94.45.199.141 I slot launch_slot_: id  0 | task 695 | processing task, is_child = 0
94.56.385.082 I slot print_timing: id  0 | task 695 | prompt processing, n_tokens =   2048, progress = 0.09, t =   8.62 s / 237.62 tokens per second
95.04.815.617 I slot print_timing: id  0 | task 695 | prompt processing, n_tokens =   4096, progress = 0.10, t =  17.31 s / 236.59 tokens per second
95.13.658.344 I slot print_timing: id  0 | task 695 | prompt processing, n_tokens =   6144, progress = 0.11, t =  26.05 s / 235.81 tokens per second
95.22.918.386 I slot print_timing: id  0 | task 695 | prompt processing, n_tokens =   8192, progress = 0.12, t =  35.17 s / 232.94 tokens per second
95.32.895.749 I slot print_timing: id  0 | task 695 | prompt processing, n_tokens =  10240, progress = 0.13, t =  44.94 s / 227.86 tokens per second
95.43.606.762 I slot print_timing: id  0 | task 695 | prompt processing, n_tokens =  12288, progress = 0.13, t =  55.45 s / 221.61 tokens per second
95.55.109.619 I slot print_timing: id  0 | task 695 | prompt processing, n_tokens =  14336, progress = 0.14, t =  66.65 s / 215.09 tokens per second
96.07.204.594 I slot print_timing: id  0 | task 695 | prompt processing, n_tokens =  16384, progress = 0.15, t =  78.70 s / 208.19 tokens per second
96.19.679.871 I slot print_timing: id  0 | task 695 | prompt processing, n_tokens =  18432, progress = 0.16, t =  91.06 s / 202.41 tokens per second
96.32.645.118 I slot print_timing: id  0 | task 695 | prompt processing, n_tokens =  20480, progress = 0.17, t = 103.89 s / 197.12 tokens per second
