ts,wired_gb,free_gb,rss_gb
1788048014,46.81,7.38,48.58
1788048019,3.01,54.87,0
1788048024,3.01,54.86,0
1788048029,3.01,54.86,0
1788048034,3.01,54.86,0
1788048039,3.01,54.86,0
1788048044,3.51,54.32,0.15
1788048049,47.94,7.81,44.93
1788048054,50.25,5.79,45.82
1788048059,50.25,5.70,45.82
1788048064,50.25,5.70,45.82
1788048069,50.21,5.70,45.82
1788048074,50.25,5.70,45.82
1788048079,50.34,5.51,45.90
1788048084,50.34,5.44,46.06
1788048089,50.34,5.43,46.08
1788048094,50.34,5.44,46.09
1788048099,50.34,5.43,46.09
1788048104,50.34,5.39,46.10
1788048109,50.34,5.39,46.10
1788048114,50.34,5.40,46.11
1788048119,50.33,5.40,46.12
1788048124,50.30,5.40,46.12
1788048129,50.33,5.39,46.13
1788048134,50.28,5.13,46.56
1788048139,50.33,5.23,46.79
1788048144,50.44,5.25,46.79
1788048149,50.32,5.30,46.88
1788048154,50.32,5.32,46.88
1788048159,50.32,5.31,46.95
1788048164,50.29,5.29,47.03
1788048169,50.29,5.30,47.03
1788048174,50.33,5.29,47.03
1788048180,50.33,5.28,47.05
1788048185,50.29,5.29,47.05
1788048190,50.29,5.30,47.05
1788048195,50.33,5.30,47.06
1788048200,50.33,5.30,47.06
1788048205,50.29,5.31,47.07
1788048210,50.33,5.29,47.07
1788048215,50.29,5.31,47.08
1788048220,50.32,5.29,47.08
1788048225,50.32,5.28,47.35
1788048230,50.32,5.29,47.35
1788048235,50.28,5.30,47.89
1788048240,50.32,5.30,47.89
1788048245,50.28,5.29,48.16
1788048250,50.28,5.29,48.16
1788048255,50.29,5.30,48.16
1788048260,50.32,5.30,48.16
1788048265,50.32,5.30,48.29
1788048270,50.28,5.30,48.29
1788048275,50.32,5.30,48.41
1788048280,50.29,5.31,48.42
1788048285,50.32,5.30,48.42
1788048290,50.28,5.31,48.42
1788048295,50.32,5.31,48.42
1788048300,50.32,5.31,48.42
1788048305,50.32,5.31,48.42
1788048310,50.32,5.31,48.42
1788048315,50.32,5.31,48.42
1788048320,50.32,5.31,48.42
1788048325,50.32,5.31,48.42
1788048330,50.39,5.32,48.42
1788048335,50.33,5.36,48.70
1788048340,50.33,5.42,48.70
1788048345,50.33,5.39,48.70
1788048350,50.33,5.38,48.70
1788048355,50.33,5.37,48.71
1788048360,50.33,5.36,48.71
1788048365,50.33,5.35,48.71
1788048370,50.29,5.35,48.71
1788048375,50.29,5.36,48.71
1788048380,50.32,5.35,48.71
1788048385,50.33,5.35,48.71
1788048390,50.29,3.81,48.51
1788048396,50.29,3.81,48.61
1788048401,50.28,3.81,48.61
1788048406,50.31,3.77,48.62
1788048411,50.31,3.67,48.46
1788048416,50.31,3.69,48.48
1788048421,50.28,3.51,48.26
1788048426,50.31,3.49,48.26
1788048431,50.31,3.50,48.26
1788048436,50.31,3.53,48.27
1788048441,50.27,3.57,48.27
1788048446,50.42,3.44,48.10
1788048451,50.30,3.52,48.20
1788048456,50.30,3.54,48.25
1788048461,50.30,3.54,48.25
1788048466,50.30,3.55,48.25
1788048471,50.27,3.57,48.26
1788048476,50.30,3.59,48.34
1788048481,50.26,3.50,48.08
1788048486,50.26,3.50,48.08
1788048491,50.29,3.49,48.08
1788048496,50.29,3.49,48.08
1788048501,50.29,3.49,48.08
1788048506,50.29,3.49,48.09
1788048511,50.30,3.48,48.09
1788048516,50.30,3.49,48.09
1788048521,50.30,3.48,48.09
1788048526,50.30,3.49,48.09
1788048531,50.30,3.49,48.10
1788048536,50.30,3.49,48.10
1788048541,50.30,3.49,48.10
1788048546,50.30,3.50,48.10
1788048551,50.30,3.50,48.10
1788048556,50.30,3.50,48.11
1788048561,50.27,3.50,48.11
1788048566,50.30,3.50,48.11
1788048571,50.30,3.50,48.11
1788048576,50.30,3.51,48.12
1788048581,50.30,3.50,48.12
1788048586,50.30,3.51,48.12
1788048591,50.30,3.51,48.12
1788048596,50.30,3.51,48.12
