ts,quant,pid,rss_gb,free_pct,wired_gb,compressed_gb
1788033502.79,mlx4,42074,15.606,11.77,3.6,2.72
1788033503.21,mlx4,42074,15.606,11.78,3.6,2.72
1788033503.63,mlx4,42074,15.606,11.79,3.6,2.72
1788033504.05,mlx4,42074,15.606,11.81,3.6,2.72
1788033504.46,mlx4,42074,15.606,11.82,3.6,2.72
1788033504.88,mlx4,42074,15.606,11.9,3.6,2.71
1788033505.3,mlx4,42074,15.606,11.91,3.6,2.71
1788033505.72,mlx4,42074,15.606,11.92,3.6,2.71
1788033506.14,mlx4,42074,15.606,11.98,3.6,2.71
1788033506.56,mlx4,42074,15.606,12.0,3.6,2.71
1788033506.98,mlx4,42074,15.606,12.02,3.6,2.71
1788033507.4,mlx4,42074,15.606,12.02,3.6,2.71
1788033507.82,mlx4,42074,15.606,12.04,3.6,2.71
1788033508.25,mlx4,42074,15.606,12.11,3.6,2.71
1788033508.66,mlx4,42074,15.606,12.12,3.6,2.71
1788033509.08,mlx4,42074,15.606,12.2,3.62,2.71
1788033509.5,mlx4,42074,15.606,12.22,3.62,2.71
1788033509.92,mlx4,42074,15.606,12.25,3.63,2.71
1788033510.34,mlx4,42074,15.606,12.26,3.63,2.71
1788033510.76,mlx4,42074,15.606,12.28,3.63,2.71
1788033511.18,mlx4,42074,15.606,12.61,3.63,2.71
1788033511.59,mlx4,42074,15.606,12.62,3.63,2.71
1788033512.0,mlx4,42074,15.606,12.63,3.63,2.71
1788033512.42,mlx4,42074,15.606,12.72,3.63,2.7
1788033512.83,mlx4,42074,15.606,13.61,3.83,2.7
1788033513.25,mlx4,42074,15.611,31.85,24.41,2.72
1788033513.66,mlx4,42074,15.611,10.71,53.83,2.72
1788033514.07,mlx4,42074,15.611,9.05,54.73,2.66
1788033514.48,mlx4,42074,15.611,8.95,54.79,2.66
1788033514.89,mlx4,42074,15.611,9.03,54.76,2.63
1788033515.3,mlx4,42074,15.611,8.99,54.62,2.63
1788033515.71,mlx4,42074,15.611,9.1,54.55,2.63
1788033516.12,mlx4,42074,15.611,9.13,54.38,2.63
1788033516.53,mlx4,42074,15.611,9.32,54.12,2.63
1788033516.94,mlx4,42074,15.611,9.27,54.24,2.63
1788033517.35,mlx4,42074,15.611,9.15,54.31,2.63
1788033517.76,mlx4,42074,15.611,9.43,54.13,2.62
1788033518.17,mlx4,42074,15.611,9.04,54.39,2.62
1788033518.58,mlx4,42074,15.611,9.58,54.05,2.61
1788033518.99,mlx4,42074,15.611,9.49,54.12,2.6
1788033519.4,mlx4,42074,15.611,9.48,54.15,2.6
1788033519.81,mlx4,42074,15.611,9.42,54.21,2.6
1788033520.22,mlx4,42074,15.611,9.57,54.2,2.59
1788033520.63,mlx4,42074,15.611,9.62,54.18,2.59
1788033521.04,mlx4,42074,15.611,9.55,54.15,2.59
1788033521.46,mlx4,42074,15.611,18.69,47.85,2.59
1788033521.87,mlx4,42074,15.611,18.1,48.25,2.59
1788033522.28,mlx4,42074,15.611,17.94,48.31,2.59
1788033522.7,mlx4,42074,15.611,17.38,48.72,2.58
1788033523.11,mlx4,42074,15.611,16.88,49.01,2.58
1788033523.52,mlx4,42074,15.611,16.46,49.28,2.58
1788033523.93,mlx4,42074,15.611,15.95,49.63,2.58
1788033524.34,mlx4,42074,15.611,15.54,49.83,2.58
1788033524.75,mlx4,42074,15.611,14.76,50.53,2.58
1788033525.16,mlx4,42074,15.611,14.71,50.57,2.58
1788033525.57,mlx4,42074,15.611,14.2,50.91,2.58
1788033525.98,mlx4,42074,15.611,13.85,51.03,2.58
1788033526.39,mlx4,42074,15.611,13.45,51.34,2.58
1788033526.81,mlx4,42074,15.611,13.04,51.41,2.58
1788033527.22,mlx4,42074,15.611,12.64,51.8,2.58
1788033527.63,mlx4,42074,15.611,12.68,51.8,2.58
1788033528.04,mlx4,42074,15.611,12.18,52.0,2.58
1788033528.45,mlx4,42074,15.611,11.72,52.51,2.58
1788033528.86,mlx4,42074,15.611,19.18,47.4,2.58
1788033529.28,mlx4,42074,15.611,18.86,47.85,2.58
1788033529.69,mlx4,42074,15.611,18.31,48.22,2.57
1788033530.1,mlx4,42074,15.611,17.8,48.48,2.57
1788033530.51,mlx4,42074,15.611,17.18,48.88,2.57
1788033530.93,mlx4,42074,15.611,16.61,49.18,2.57
1788033531.34,mlx4,42074,15.611,16.59,49.28,2.57
1788033531.75,mlx4,42074,15.611,16.06,49.59,2.57
1788033532.16,mlx4,42074,15.611,15.63,49.86,2.57
1788033532.57,mlx4,42074,15.611,15.43,49.75,2.57
1788033532.98,mlx4,42074,15.611,14.93,50.08,2.57
1788033533.39,mlx4,42074,15.611,14.44,50.43,2.57
1788033533.8,mlx4,42074,15.611,14.48,50.43,2.57
1788033534.21,mlx4,42074,15.611,13.96,50.79,2.57
1788033534.63,mlx4,42074,15.611,13.45,51.17,2.57
1788033535.04,mlx4,42074,15.611,12.94,51.52,2.57
1788033535.45,mlx4,42074,15.611,12.46,51.88,2.57
1788033535.86,mlx4,42074,15.611,12.01,52.24,2.57
1788033536.27,mlx4,42074,15.611,11.8,52.48,2.57
1788033536.68,mlx4,42074,15.611,18.18,48.06,2.57
1788033537.09,mlx4,42074,15.611,17.54,48.47,2.57
1788033537.5,mlx4,42074,15.611,17.49,48.46,2.57
1788033537.91,mlx4,42074,15.611,17.02,48.75,2.57
1788033538.31,mlx4,42074,15.611,16.5,49.09,2.57
1788033538.73,mlx4,42074,15.611,15.87,49.54,2.57
1788033539.14,mlx4,42074,15.611,15.91,49.21,2.57
1788033539.55,mlx4,42074,15.611,15.91,49.21,2.57
1788033539.96,mlx4,42074,15.611,15.53,49.22,2.57
1788033540.37,mlx4,42074,15.611,14.72,50.2,2.57
1788033540.78,mlx4,42074,15.611,14.23,50.56,2.57
1788033541.19,mlx4,42074,15.611,13.77,50.46,2.57
1788033541.6,mlx4,42074,15.611,13.59,50.85,2.57
1788033542.01,mlx4,42074,15.611,13.59,50.85,2.56
1788033542.42,mlx4,42074,15.611,13.06,51.06,2.56
